vote,user,date,commentText,likes
1,Christopher Ruvio,1 hour ago,tucker is a blind man,0
1,Willi Ingulf Ditlefsen,2 hours ago,"This is to stupid. To predict an ice age is not the same as a weather report, mr Tucker. Please don't expose your stupidety to the public so blatantly.",0
0,Joshua Zampella,3 hours ago,"3:35 ""100% if that's the number you want"" He doesn't have the answers, only the answers he thinks his audience wants.",0
1,Andrew Luchsinger,4 hours ago,There are times when I wonder if Tucker knows anything about the rules of debate.,0
0,Phrogbubba,6 hours ago,bill Nye the liberal guy.  Didn't hear anything but left wing propaganda from him.,0
0,Simo Hayha #1,9 hours ago,"Its so funny how bill claims there is so much evidence, yet he can't even answer some of what should be simple questions about climate change. Why? Because there is no solid evidence that humans are causing this to drastically speed up. Tucker does act way overboard on this though.",0
1,Sandy Ingilela,11 hours ago,"Tucker, what a dumb fu*k!",0
1,Andrii Shumskyi,12 hours ago,Does anyone need to comment this one?,0
1,Demiurge Shadow,14 hours ago,Tucker carlsons blank stare as he tries to process words is hilarious.,0
0,Christian MacKenzie,17 hours ago,The simple fact he can not give the facts and the statistics and he can’t answer the questions is a key point why people don’t believe him.,0
1,AlbinoRhino65,18 hours ago,Bill Nye is correct is this situation....Tucker over here is acting like an immature being or a child.,3
1,Howie Dennis,20 hours ago,LMAO Tucker Carlson just got schooled. Obviously doesn't like having  smart people on his show.,0
0,Lex Luthor,21 hours ago,Man made climate is not a scientific fact in the least,0
0,CJ S,1 day ago,"1750? Lol, he takes a year when industry started. Genius. Makes sense.",0
0,BeardedVeteran,1 day ago,I simply do not give 2 fucks about Global Warming.,1
0,Fabio Bigfoot,1 day ago,"Omg...so Bill is saying another ice age is better...ill take the heat!! Bill is spewing the same BS as all climate change a**holes are babbling on about!! Why dont we talk about what the governments are doing to hoax us into believing there is climate change. The chem trail spraying...this is not a conspiracy it has been documented and proven. Also HARP and the manipulation of the atmosphere. Anyone not familiar with what HARP can do and what it is...take a look.
And there are several of these installments around the globe, and it can do more than the official explanation. 
So until the governments start coming clean on their manipulation of the atmosphere...they have no right to tell me what to do in the meantime!! And for anyone who is buying this BS that the average person and cow farts are the reason for global warming...I dont blame you for believing that...but dont take the claims at face value. If you dig deep into those who are vocal on the subject you will find most all have something to gain by pushing this narrative.
Either from getting paid to promote it or by owning interests in companies having products designed to combat it or replace current ""Bad"" texhnologies.
Yes the elite want us to walk, take crappy 7"""" public transit everywhere, eat grass and bugs...meanwhile they fly as as little as 30 miles to avoid traffic...eat the most endangered species and own largest polluting companies in the world!",1
1,Jen Miller,1 day ago,They changed Tucker's name so he can be on TV the T is supposed to be an F ...😆 burn!!!... You getting paid by Big Oil Tucker to cut off Bill Nye?,0
1,Aaron Seamster,1 day ago,"Geoengineering has been going on for DECADES...Stratospheric Sulfate Injection...terrorism, problem, solution.",1
1,Spencer Breese,1 day ago,Bills the man.,0
0,Lilly Smith,1 day ago,"I think tucker might've slipped up in this discussion/debate/argument/whatever, generally I think he's on point, and although I feel the push for climate change is fear mongering for the left that doesn't accurately represent that the climate is always changing and isn't entirely or majorly the fault of humans. Maybe I'm wrong idk, I do know that it's 100% wrong to have a carbon tax at the very least. I don't know the facts or key argument or counterargument as I've seen how most of the lefts arguments boil down to """"facts"""" rather then actual facts. If anyones to blame for the global warming thing its china, not america.",0
0,ChillingLikeANarnian InNarnia,1 day ago,I want to choke this dude,0
1,As4me -,1 day ago,"So you don't like his answer, so you yell and interrupt him continuously until the interview is over. The Bible says  be slow to speak and quick to listen.!",1
0,Kenneth jackson,2 days ago,"Bill, your degree is in mechanical engineering not climatoligy. you have read about the subject but you are no more euridite on this than any other who has read on these subjects.the 1750 assertion was by one contributer who also was not a scientist in an article in a national magazine.",0
1,Bill L.,2 days ago,"Next week on Fox, Tucker Carlson questions America's moon landing. 'Was the Apollo 11 mission fake like climate change? Stay tuned for Tucker's cognitive dissonance right here on Fox.'",2
1,PrettyBoyFalco,2 days ago,Shame on Tucker.,0
0,David D,2 days ago,Tucker is more in his element when he debates social justice warriors.,1
0,David woods,2 days ago,"Bill nye the not so small guy... sorry dumbass having a degree in mechanical science does not mean that you jack sh¡t about climate... climate change aka global warming aka global cooling is not real and no there isn’t undeniable evidence supporting it... for starters you have no clue how old the earth is and saying BILLIONS OF YEARS isn’t going to help prove anything except that you are an ignorant fool trying to fool people.

Sorry just had to rant a bit",0
1,Tyler M,2 days ago,It's like arguing with a brick wall.,0
0,Attilio De Moliner,2 days ago,no use talking to assholes,0
0,Spaceman Spiffy,3 days ago,"oh man, the evolutionists are trying to use the world view argument.",0
1,Mannon,3 days ago,"i had not watched this before. shame, i really liked Tucker",0
