id,user,date,Text,likes
UgwnelgA_0jMI1MlNkF4AaABAg,Christopher Ruvio,1 hour ago,tucker is a blind man,0
Ugy1yNDOUyQjAomJd8V4AaABAg,Willi Ingulf Ditlefsen,2 hours ago,"This is to stupid. To predict an ice age is not the same as a weather report, mr Tucker. Please don't expose your stupidety to the public so blatantly.",0
UgyV8bGW5td78deyTNB4AaABAg,Joshua Zampella,3 hours ago,"3:35 ""100% if that's the number you want"" He doesn't have the answers, only the answers he thinks his audience wants.",0
UgyJDahzxthiItfUNyV4AaABAg,Andrew Luchsinger,4 hours ago,There are times when I wonder if Tucker knows anything about the rules of debate.,0
Ugw6KopI5nWALLNeaEx4AaABAg,Phrogbubba,6 hours ago,bill Nye the liberal guy.  Didn't hear anything but left wing propaganda from him.,0
Ugz6I293jDgWVjiaChd4AaABAg,Simo Hayha #1,9 hours ago,"Its so funny how bill claims there is so much evidence, yet he can't even answer some of what should be simple questions about climate change. Why? Because there is no solid evidence that humans are causing this to drastically speed up. Tucker does act way overboard on this though.",0
UgwuMtLo4pXuWSPWv7x4AaABAg,Sandy Ingilela,11 hours ago,"Tucker, what a dumb fu*k!",0
UgyCYkmyVEnDA6uIbMl4AaABAg,Andrii Shumskyi,12 hours ago,Does anyone need to comment this one?,0
Ugyt1sINbfwXCFPdJfJ4AaABAg,Demiurge Shadow,14 hours ago,Tucker carlsons blank stare as he tries to process words is hilarious.,0
UgyRNAlm_d69uMP6TJZ4AaABAg,Christian MacKenzie,17 hours ago,The simple fact he can not give the facts and the statistics and he can’t answer the questions is a key point why people don’t believe him.,0
UgwEhRAJh-26d5jU3MN4AaABAg,AlbinoRhino65,18 hours ago,Bill Nye is correct is this situation....Tucker over here is acting like an immature being or a child.,3
UgzbAAdZu_3gp9b3kOd4AaABAg,Howie Dennis,20 hours ago,LMAO Tucker Carlson just got schooled. Obviously doesn't like having  smart people on his show.,0
Ugze755LgR6Ql4zM6tp4AaABAg,Lex Luthor,21 hours ago,Man made climate is not a scientific fact in the least,0
UgxqOGzRKlRE--TYE8Z4AaABAg,CJ S,1 day ago,"1750? Lol, he takes a year when industry started. Genius. Makes sense.",0
Ugw2SRROP37UL9hvc714AaABAg,BeardedVeteran,1 day ago,I simply do not give 2 fucks about Global Warming.,1
